Stream,Replicate,Day,Percent_Remaining
CC,1,0,100
CC,2,0,100
CC,3,0,100
VEN,1,0,100
VEN,2,0,100
VEN,3,0,100
HP,1,0,100
HP,2,0,100
HP,3,0,100
MONT,1,0,100
MONT,2,0,100
MONT,3,0,100
LL,1,0,100
LL,2,0,100
LL,3,0,100
MAT,1,0,100
MAT,2,0,100
MAT,3,0,100
CC,1,2,94.66934237
CC,2,2,94.2621624
CC,3,2,95.07652234
VEN,1,2,94.48038161
VEN,2,2,94.87293235
VEN,3,2,93.66764714
HP,1,2,99.76315563
HP,2,2,94.87293235
HP,3,2,95.08993245
MONT,1,2,94.87293235
MONT,2,2,94.2621624
MONT,3,2,98.94473202
LL,1,2,99.55997201
LL,2,2,94.07401437
LL,3,2,98.34087032
MAT,1,2,95.08993245
MAT,2,2,95.10328915
MAT,3,2,93.65139245
CC,1,4,94.46575239
CC,2,4,88.79124035
CC,3,4,88.96882283
VEN,1,4,88.1816895
VEN,2,4,87.36895503
VEN,3,4,87.36895503
HP,1,4,92.02267258
HP,2,4,86.35303695
HP,3,4,93.24421248
MONT,1,4,88.15446289
MONT,2,4,88.15446289
MONT,3,4,88.56164286
LL,1,4,86.75940418
LL,2,4,87.54369294
LL,3,4,86.32215304
MAT,1,4,88.56164286
MAT,2,4,88.1816895
MAT,3,4,88.58805673
CC,1,8,84.89702316
CC,2,8,75.7354739
CC,3,8,83.87907324
VEN,1,8,83.26830329
VEN,2,8,83.26830329
VEN,3,8,85.50779311
HP,1,8,92.24536183
HP,2,8,81.8431734
HP,3,8,81.67981378
MONT,1,8,83.30528271
MONT,2,8,81.43599344
MONT,3,8,80.50321064
LL,1,8,84.69343317
LL,2,8,82.49254824
LL,3,8,87.95087291
MAT,1,8,86.11856306
MAT,2,8,93.85498243
MAT,3,8,83.0647133
CC,1,16,81.43599344
CC,2,16,81.23240345
CC,3,16,73.95883635
VEN,1,16,78.38214368
VEN,2,16,76.60022337
VEN,3,16,76.14265386
HP,1,16,74.51393399
HP,2,16,67.79546454
HP,3,16,65.35238473
MONT,1,16,72.27444417
MONT,2,16,67.39111783
MONT,3,16,66.64422617
LL,1,16,79.19650362
LL,2,16,72.33336742
LL,3,16,84.69343317
MAT,1,16,81.11154725
MAT,2,16,80.25752846
MAT,3,16,83.47189327
CC,1,32,86.55622057
CC,2,32,67.0505934
CC,3,32,70.64572431
VEN,1,32,61.68776503
VEN,2,32,63.52007488
VEN,3,32,63.59647192
HP,1,32,50.08313596
HP,2,32,46.62210624
HP,3,32,18.28652547
MONT,1,32,55.67231088
MONT,2,32,41.12517669
MONT,3,32,38.60488711
LL,1,32,67.45696063
LL,2,32,51.30467586
LL,3,32,63.3164849
MAT,1,32,76.14265386
MAT,2,32,66.57392463
MAT,3,32,66.71424761
CC,1,44,75.32829393
CC,2,44,76.34624385
CC,3,44,67.18469458
VEN,1,44,58.92324874
VEN,2,44,52.82774025
VEN,3,44,64.40920639
HP,1,44,36.97941818
HP,2,44,18.32309852
HP,3,44,7.517793805
MONT,1,44,53.3405757
MONT,2,44,39.7000468
MONT,3,44,32.77798736
LL,1,44,54.76570559
LL,2,44,
LL,3,44,63.72366486
MAT,1,44,74.5683872
MAT,2,44,63.79965554
MAT,3,44,64.5380248
